Suburb,Rooms,Type,Price,Method,SellerG,Postcode,Regionname,Propertycount,Distance,CouncilArea,Sale_Year,Sale_Month
Broadmeadows,2,h,433500.0,S,RW,3047,Northern Metropolitan,4294,14.0,Hume City Council,2018,4
Glen Iris,3,h,1500000.0,S,Other,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,2017,5
Toorak,3,h,1689000.0,S,Kay,3142,Southern Metropolitan,7217,4.1,Stonnington City Council,2017,3
Croydon,3,h,715000.0,S,Jellis,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,2018,9
Camberwell,3,h,1855000.0,S,Jellis,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,2017,12
Mulgrave,4,h,1200000.0,S,Harcourts,3170,South-Eastern Metropolitan,7113,18.8,Monash City Council,2018,3
Bundoora,5,h,663000.0,S,Ray,3083,Northern Metropolitan,10175,12.1,Banyule City Council,2016,11
Point Cook,4,h,850000.0,SP,hockingstuart,3030,Western Metropolitan,15542,14.7,Wyndham City Council,2018,5
Ivanhoe,3,h,1465000.0,S,Nelson,3079,Eastern Metropolitan,5549,7.8,Banyule City Council,2017,11
Balwyn North,4,h,1562000.0,S,Fletchers,3104,Southern Metropolitan,7809,9.7,Boroondara City Council,2018,2
Bentleigh,4,t,1467000.0,S,Marshall,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,2018,6
Mont Albert,2,u,520000.0,VB,hockingstuart,3127,Eastern Metropolitan,2079,10.2,Boroondara City Council,2016,5
Carlton North,4,u,1560000.0,S,Jellis,3054,Northern Metropolitan,3106,3.5,Melbourne City Council,2017,2
Wheelers Hill,4,h,1290000.0,SP,Other,3150,South-Eastern Metropolitan,7392,16.7,Monash City Council,2018,5
Northcote,4,h,1300000.0,VB,Jellis,3070,Northern Metropolitan,11364,5.3,Darebin City Council,2016,8
Other,3,t,920000.0,VB,Gary,3163,Southern Metropolitan,2403,10.1,Glen Eira City Council,2017,12
Prahran,2,u,585000.0,PI,Biggin,3181,Southern Metropolitan,7717,4.6,Stonnington City Council,2016,9
Cheltenham,3,h,1200000.0,SP,Buxton,3192,Southern Metropolitan,9758,17.9,Bayside City Council,2018,6
Reservoir,3,h,710000.0,S,hockingstuart,3073,Northern Metropolitan,21650,12.0,Darebin City Council,2016,10
